Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
63rd Street Weather Station,2021-10-26 02:59:59.696937,45,4.9,11.1,351.0
Oak Street Weather Station,2021-11-11 01:59:59.126938,113,3.7,5.8,357.0
Oak Street Weather Station,2021-07-12 14:59:59.440170,71,2.5,3.0,357.0
Oak Street Weather Station,2021-10-15 23:59:59.818930,348,0.5,1.2,357.0
63rd Street Weather Station,2021-07-23 21:59:59.165918,246,1.9,4.0,352.0
Foster Weather Station,2021-07-04 18:00:00.825105,0,3.3,0.0,
Oak Street Weather Station,2021-08-19 03:59:59.629407,0,0.0,0.6,358.0
63rd Street Weather Station,2021-09-27 15:59:59.866451,266,4.1,6.7,350.0
Oak Street Weather Station,2021-11-04 01:59:59.910103,263,0.4,0.9,357.0
Foster Weather Station,2021-11-02 13:00:00.627156,0,3.3,0.0,
Oak Street Weather Station,2021-07-07 03:59:59.888358,0,0.5,1.2,357.0
Oak Street Weather Station,2021-10-30 04:00:00.634661,22,6.6,8.5,357.0
Foster Weather Station,2021-07-15 02:00:00.169626,0,3.3,0.0,
Foster Weather Station,2021-05-29 07:59:59.976472,0,3.3,0.0,
Foster Weather Station,2021-08-18 13:59:59.130315,0,3.3,0.0,
Oak Street Weather Station,2021-11-23 13:00:00.562686,64,0.7,1.3,357.0
Foster Weather Station,2021-12-12 16:00:00.478486,0,3.3,0.0,
Oak Street Weather Station,2021-08-26 02:59:59.870257,222,0.9,2.5,358.0
Oak Street Weather Station,2021-06-01 03:00:00.442357,335,0.9,1.5,358.0
Foster Weather Station,2021-05-27 08:00:00.176161,0,3.3,0.0,
Foster Weather Station,2021-07-20 09:00:00.593928,0,3.3,0.0,
63rd Street Weather Station,2021-07-11 05:59:59.728234,88,4.6,7.2,351.0
Oak Street Weather Station,2021-07-10 04:00:00.652446,116,1.7,3.5,357.0
Oak Street Weather Station,2021-09-10 10:59:59.445243,106,2.2,3.5,358.0
Oak Street Weather Station,2021-08-24 02:59:59.442341,283,0.9,1.6,358.0
Foster Weather Station,2021-08-10 01:00:00.059239,0,3.3,0.0,
Oak Street Weather Station,2021-08-05 02:00:00.573655,0,0.0,0.7,358.0
Foster Weather Station,2021-06-01 07:59:59.504167,0,3.3,0.0,
Foster Weather Station,2021-12-10 11:59:59.305432,0,3.3,0.0,
Oak Street Weather Station,2021-05-17 18:00:00.300610,92,0.8,1.2,357.0
Foster Weather Station,2021-09-14 13:59:59.990101,0,3.3,0.0,
63rd Street Weather Station,2021-09-16 04:00:00.521738,170,1.3,2.1,351.0
63rd Street Weather Station,2021-07-31 12:00:00.476920,113,0.9,1.8,351.0
Oak Street Weather Station,2021-08-28 13:00:00.417975,119,0.7,2.0,358.0
Oak Street Weather Station,2021-07-29 20:00:00.511066,20,5.6,7.7,357.0
Oak Street Weather Station,2021-06-10 05:00:00.520009,5,0.9,1.1,357.0
63rd Street Weather Station,2021-07-01 18:00:00.175754,17,8.5,11.3,349.0
Oak Street Weather Station,2021-11-06 22:59:59.366124,283,3.6,7.6,357.0
63rd Street Weather Station,2021-05-27 13:59:59.715258,41,10.0,14.8,351.0
63rd Street Weather Station,2021-06-17 11:00:00.336917,195,2.2,3.5,351.0
Foster Weather Station,2021-06-20 14:59:59.848892,0,3.3,0.0,
Oak Street Weather Station,2021-06-18 00:00:00.369712,322,1.6,3.6,358.0
Oak Street Weather Station,2021-06-16 22:00:00.020624,118,1.0,1.6,357.0
Oak Street Weather Station,2021-09-02 16:00:00.508391,110,2.3,3.8,357.0
63rd Street Weather Station,2021-11-21 16:00:00.613172,287,7.8,14.3,350.0
Oak Street Weather Station,2021-11-10 15:00:00.624429,113,2.8,4.4,357.0
Foster Weather Station,2021-09-24 22:00:00.366937,0,3.3,0.0,
Oak Street Weather Station,2021-06-14 15:00:00.596556,170,0.6,1.7,357.0
Oak Street Weather Station,2021-06-23 01:59:59.157643,277,1.1,3.2,357.0
