Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature
63rd Street Weather Station,2021-09-06 23:59:59.697540,21.0,16.3
Oak Street Weather Station,2021-10-22 20:00:00.130152,12.1,7.1
Foster Weather Station,2021-07-08 09:59:59.881845,17.28,
Foster Weather Station,2021-10-18 12:59:59.457646,18.67,
63rd Street Weather Station,2021-06-28 15:59:59.895013,20.0,19.7
Oak Street Weather Station,2021-12-06 12:00:00.713894,1.6,-1.5
Oak Street Weather Station,2021-07-13 12:59:59.436066,23.9,21.0
63rd Street Weather Station,2021-10-20 07:59:59.245483,13.5,10.9
Oak Street Weather Station,2021-11-21 05:59:59.883959,7.9,4.9
Oak Street Weather Station,2021-08-30 11:00:00.043405,23.8,20.1
Oak Street Weather Station,2021-06-10 09:00:00.229901,21.2,19.6
Foster Weather Station,2021-06-02 06:59:59.235462,9.78,
Oak Street Weather Station,2021-12-09 02:00:00.820808,0.4,-1.7
Oak Street Weather Station,2021-08-01 18:59:59.721268,21.2,17.4
Foster Weather Station,2021-11-29 03:59:59.320924,-0.67,
Oak Street Weather Station,2021-09-17 02:59:59.198063,23.7,18.2
Foster Weather Station,2021-09-20 02:00:00.089261,24.67,
63rd Street Weather Station,2021-06-18 05:00:00.370215,26.1,21.2
Oak Street Weather Station,2021-09-23 11:00:00.153155,14.9,11.0
Oak Street Weather Station,2021-09-13 06:59:59.852982,22.0,21.0
63rd Street Weather Station,2021-09-16 22:00:00.522929,22.4,20.1
Foster Weather Station,2021-07-28 22:59:59.337896,28.28,
Oak Street Weather Station,2021-06-12 16:00:00.423851,25.3,20.8
Oak Street Weather Station,2021-11-12 08:00:00.131870,4.9,2.7
Foster Weather Station,2021-11-28 20:59:59.430756,0.89,
Oak Street Weather Station,2021-05-26 21:59:59.360294,14.9,13.1
Foster Weather Station,2021-05-23 14:00:00.552443,15.0,
63rd Street Weather Station,2021-08-04 05:59:59.621881,19.7,16.2
Oak Street Weather Station,2021-07-02 14:59:59.942298,18.2,16.2
Oak Street Weather Station,2021-07-03 11:00:00.157575,26.2,18.2
Oak Street Weather Station,2021-11-25 01:59:59.826277,10.1,8.9
Foster Weather Station,2021-10-13 22:00:00.170371,19.17,
Foster Weather Station,2021-12-05 00:59:59.545129,3.78,
Foster Weather Station,2021-11-28 05:00:00.383407,-0.5,
Foster Weather Station,2021-07-05 03:59:59.469760,24.67,
63rd Street Weather Station,2021-07-25 14:00:00.884994,25.3,22.5
Oak Street Weather Station,2021-11-26 21:59:59.975576,-0.1,-3.0
Oak Street Weather Station,2021-11-13 19:59:59.955497,3.6,1.1
Foster Weather Station,2021-07-08 09:00:00.754960,17.39,
63rd Street Weather Station,2021-10-13 11:00:00.585070,20.6,15.8
63rd Street Weather Station,2021-10-04 00:59:59.633740,19.3,19.3
Oak Street Weather Station,2021-06-25 10:00:00.611337,22.2,21.1
63rd Street Weather Station,2021-08-02 17:00:00.123336,22.2,17.7
Foster Weather Station,2021-07-13 08:59:59.878795,20.5,
63rd Street Weather Station,2021-09-04 11:59:59.970058,22.7,19.9
Foster Weather Station,2021-09-05 05:59:59.306745,16.89,
63rd Street Weather Station,2021-07-30 21:00:00.872167,20.0,16.7
Foster Weather Station,2021-12-07 03:00:00.092923,-10.56,
Oak Street Weather Station,2021-10-09 08:59:59.716018,20.3,18.0
63rd Street Weather Station,2021-06-14 19:59:59.523610,21.5,17.0
Oak Street Weather Station,2021-10-21 05:59:59.963043,13.2,10.4
Foster Weather Station,2021-08-30 06:59:59.172093,21.17,
Foster Weather Station,2021-06-09 09:59:59.207231,14.56,
Foster Weather Station,2021-10-11 04:00:00.590159,22.5,
63rd Street Weather Station,2021-10-05 20:59:59.564320,19.6,19.3
Oak Street Weather Station,2021-11-11 17:00:00.120945,10.5,7.1
63rd Street Weather Station,2021-05-23 00:59:59.174478,24.4,20.5
Oak Street Weather Station,2021-10-18 01:59:59.488735,14.6,8.8
63rd Street Weather Station,2021-08-22 12:00:00.377618,24.0,22.0
63rd Street Weather Station,2021-10-19 15:00:00.266905,21.7,13.9
63rd Street Weather Station,2021-09-24 21:00:00.783686,22.9,15.7
Foster Weather Station,2021-10-04 11:00:00.546024,19.17,
63rd Street Weather Station,2021-08-26 03:59:59.168554,22.6,21.5
Oak Street Weather Station,2021-11-16 03:59:59.208271,3.9,2.3
63rd Street Weather Station,2021-10-29 01:00:00.311973,13.9,13.2
63rd Street Weather Station,2021-08-10 06:59:59.959867,24.9,23.0
63rd Street Weather Station,2021-09-07 02:00:00.748117,20.6,15.7
63rd Street Weather Station,2021-06-30 10:59:59.946253,25.4,23.5
Foster Weather Station,2021-10-09 23:00:00.326249,21.0,
Oak Street Weather Station,2021-05-30 17:00:00.189553,15.6,10.8
Foster Weather Station,2021-09-15 14:59:59.454447,21.0,
Foster Weather Station,2021-08-31 19:00:00.660416,23.39,
63rd Street Weather Station,2021-10-20 10:59:59.186593,18.8,14.0
63rd Street Weather Station,2021-10-10 09:59:59.332940,23.3,20.1
63rd Street Weather Station,2021-06-02 13:00:00.291607,16.1,14.9
63rd Street Weather Station,2021-10-11 05:00:00.020018,22.8,20.5
Oak Street Weather Station,2021-05-19 03:59:59.443153,17.6,15.5
Foster Weather Station,2021-08-27 18:00:00.078367,26.67,
Foster Weather Station,2021-10-02 15:59:59.808108,24.28,
Foster Weather Station,2021-11-04 02:59:59.487149,1.5,
63rd Street Weather Station,2021-12-07 08:59:59.620203,-8.1,-10.0
Foster Weather Station,2021-10-08 17:59:59.552176,18.67,
Foster Weather Station,2021-06-02 00:00:00.714604,9.89,
63rd Street Weather Station,2021-07-23 14:59:59.703464,31.5,23.9
Foster Weather Station,2021-06-14 12:00:00.028647,19.5,
63rd Street Weather Station,2021-11-04 20:00:00.684881,6.2,3.1
Oak Street Weather Station,2021-10-07 01:00:00.830182,19.4,18.5
Foster Weather Station,2021-08-29 05:59:59.134417,25.5,
Foster Weather Station,2021-11-10 21:00:00.119657,12.28,
63rd Street Weather Station,2021-09-30 12:00:00.051854,19.8,16.8
Oak Street Weather Station,2021-10-22 08:59:59.662223,8.8,5.7
