Station Name,Measurement Timestamp,Humidity
Oak Street Weather Station,2021-10-26 00:59:59.800331,67
Foster Weather Station,2021-10-03 17:59:59.797382,75
Foster Weather Station,2021-09-20 14:59:59.869892,61
Oak Street Weather Station,2021-08-14 05:59:59.193473,71
Foster Weather Station,2021-06-03 08:59:59.657846,53
Foster Weather Station,2021-09-29 19:59:59.953580,78
Oak Street Weather Station,2021-08-13 15:00:00.065546,72
Oak Street Weather Station,2021-08-23 21:00:00.256800,64
Foster Weather Station,2021-12-02 11:00:00.188252,33
Oak Street Weather Station,2021-07-08 05:59:59.899288,89
63rd Street Weather Station,2021-10-17 08:59:59.214261,62
63rd Street Weather Station,2021-05-23 12:59:59.128939,68
63rd Street Weather Station,2021-10-01 07:00:00.317685,73
63rd Street Weather Station,2021-08-28 09:00:00.083218,80
Foster Weather Station,2021-08-10 13:00:00.757258,63
Foster Weather Station,2021-06-14 22:59:59.105018,45
Foster Weather Station,2021-08-06 03:59:59.219254,56
Foster Weather Station,2021-05-25 22:59:59.448558,60
Foster Weather Station,2021-09-14 02:59:59.808519,65
Foster Weather Station,2021-09-23 02:00:00.171916,58
Foster Weather Station,2021-11-11 10:00:00.755355,85
Oak Street Weather Station,2021-06-23 00:59:59.757337,49
Foster Weather Station,2021-06-02 00:59:59.680585,57
Oak Street Weather Station,2021-11-05 05:59:59.442410,52
63rd Street Weather Station,2021-10-10 15:59:59.817947,59
Oak Street Weather Station,2021-08-18 12:59:59.196402,86
Foster Weather Station,2021-11-03 07:59:59.865716,60
63rd Street Weather Station,2021-09-30 09:00:00.256011,67
Foster Weather Station,2021-11-14 00:00:00.335603,75
Foster Weather Station,2021-11-11 20:59:59.305632,57
Foster Weather Station,2021-06-17 11:59:59.358936,56
Oak Street Weather Station,2021-10-03 19:59:59.243112,89
Oak Street Weather Station,2021-05-25 02:00:00.510103,53
Oak Street Weather Station,2021-12-16 10:00:00.411596,62
Foster Weather Station,2021-07-16 20:00:00.878985,86
Foster Weather Station,2021-10-21 23:00:00.619034,68
Foster Weather Station,2021-07-31 05:59:59.220765,72
Oak Street Weather Station,2021-10-26 05:59:59.372951,65
Oak Street Weather Station,2021-11-16 12:59:59.189102,75
Foster Weather Station,2021-11-27 11:59:59.737066,59
Foster Weather Station,2021-09-04 00:59:59.317679,63
Oak Street Weather Station,2021-10-15 14:59:59.346660,73
Foster Weather Station,2021-07-28 03:00:00.814212,64
63rd Street Weather Station,2021-05-22 06:59:59.149115,63
63rd Street Weather Station,2021-09-09 14:59:59.357423,64
63rd Street Weather Station,2021-11-03 02:59:59.122441,65
63rd Street Weather Station,2021-10-13 09:59:59.652726,68
Oak Street Weather Station,2021-08-30 02:00:00.193427,62
63rd Street Weather Station,2021-11-27 07:59:59.507907,68
Oak Street Weather Station,2021-11-01 06:00:00.032728,65
63rd Street Weather Station,2021-09-29 02:00:00.169560,94
63rd Street Weather Station,2021-12-14 10:59:59.719412,64
Foster Weather Station,2021-10-16 07:00:00.438202,67
63rd Street Weather Station,2021-07-04 22:59:59.921062,70
63rd Street Weather Station,2021-11-12 21:59:59.399902,89
Foster Weather Station,2021-11-14 22:00:00.339325,57
63rd Street Weather Station,2021-09-15 04:59:59.255990,75
63rd Street Weather Station,2021-09-07 22:59:59.177749,83
63rd Street Weather Station,2021-11-25 22:59:59.671757,58
Foster Weather Station,2021-08-22 16:59:59.819957,72
Foster Weather Station,2021-09-23 11:59:59.224548,50
Oak Street Weather Station,2021-11-20 13:59:59.941302,49
Foster Weather Station,2021-12-12 14:59:59.346359,31
Foster Weather Station,2021-06-17 17:00:00.822737,53
Foster Weather Station,2021-06-12 01:59:59.509967,87
Foster Weather Station,2021-11-05 08:00:00.064605,61
Foster Weather Station,2021-08-19 10:59:59.547886,82
Foster Weather Station,2021-10-13 11:00:00.484268,66
Foster Weather Station,2021-12-04 17:59:59.919693,26
Oak Street Weather Station,2021-05-26 08:59:59.399503,82
Oak Street Weather Station,2021-08-05 16:00:00.365328,38
Oak Street Weather Station,2021-09-22 20:00:00.293062,58
Oak Street Weather Station,2021-09-01 10:00:00.489225,64
Foster Weather Station,2021-09-20 03:00:00.660097,65
Foster Weather Station,2021-05-17 17:59:59.856951,73
Oak Street Weather Station,2021-09-11 11:59:59.457667,60
63rd Street Weather Station,2021-06-16 06:00:00.491143,70
Oak Street Weather Station,2021-07-17 03:59:59.546995,88
63rd Street Weather Station,2021-11-16 19:00:00.822459,70
