Station Name,Measurement Timestamp,Rain Intensity,Interval Rain,Total Rain
63rd Street Weather Station,2021-07-12 19:59:59.249999,0.0,0.0,265.0
Oak Street Weather Station,2021-11-19 07:59:59.300070,0.0,0.0,40.7
Oak Street Weather Station,2021-07-08 02:59:59.377544,0.0,0.0,114.7
Oak Street Weather Station,2021-10-05 10:59:59.358752,0.0,0.0,223.9
63rd Street Weather Station,2021-10-16 01:00:00.501701,0.0,0.0,654.8
Foster Weather Station,2021-09-19 11:00:00.866914,,0.0,
Oak Street Weather Station,2021-09-22 01:59:59.491068,0.0,0.1,210.0
Oak Street Weather Station,2021-11-18 11:59:59.554881,0.0,0.0,40.7
63rd Street Weather Station,2021-12-10 19:59:59.680975,0.0,1.4,2.9
63rd Street Weather Station,2021-11-12 17:00:00.274904,0.0,0.0,98.7
Foster Weather Station,2021-10-15 22:00:00.028278,,0.0,
Oak Street Weather Station,2021-09-05 07:59:59.504563,0.0,0.0,199.8
Foster Weather Station,2021-08-12 09:00:00.776765,,0.0,
Oak Street Weather Station,2021-09-03 22:00:00.038303,0.0,0.0,199.7
Foster Weather Station,2021-12-04 18:00:00.829704,,0.0,
Foster Weather Station,2021-08-02 12:00:00.194219,,0.0,
Foster Weather Station,2021-06-21 00:59:59.819788,,0.0,
Oak Street Weather Station,2021-10-10 15:59:59.678880,0.0,0.0,238.8
Oak Street Weather Station,2021-08-27 12:00:00.409678,0.0,0.0,195.8
Oak Street Weather Station,2021-07-02 16:59:59.395685,0.0,0.0,112.6
63rd Street Weather Station,2021-08-04 02:59:59.981556,0.0,0.0,324.2
Foster Weather Station,2021-10-17 17:00:00.697015,,0.0,
63rd Street Weather Station,2021-05-22 18:00:00.135596,0.0,0.0,18.2
Oak Street Weather Station,2021-11-29 10:00:00.149805,0.0,0.0,42.8
Oak Street Weather Station,2021-07-24 15:59:59.496133,0.0,0.0,134.0
63rd Street Weather Station,2021-06-23 15:00:00.754372,0.0,0.0,22.3
Oak Street Weather Station,2021-09-22 10:59:59.307630,0.0,0.0,210.6
63rd Street Weather Station,2021-06-30 06:59:59.619142,0.0,0.0,230.4
Foster Weather Station,2021-07-31 07:59:59.515982,,0.0,
